Input; Output1; Output2; Output3; Output4; Output5; Output6; Output7; Output8; Output9; Output10; Score1; Score2; Score3; Score4; Score5; Score6; Score7; Score8; Score9; Score10
trabajo; trabajo; trabajar; mujer; .; vida; hombre; la; un; mi; que; 0.17379; 0.02391; 0.02241; 0.02081; 0.01865; 0.01302; 0.01259; 0.01001; 0.00787; 0.00676
inteligencia; inteligencia; mujer; hombre; igualdad; persona; humanidad; verdad; diferencia; .; belleza; 0.2956; 0.06668; 0.02292; 0.01252; 0.01079; 0.01039; 0.00991; 0.00764; 0.00643; 0.00625
rey; rey; reina; mujer; caballo; hombre; Rey; dios; caballero; esclavo; príncipe; 0.28209; 0.22874; 0.05769; 0.03076; 0.01793; 0.00971; 0.00656; 0.00654; 0.00479; 0.00465
programador; programador; hombre; persona; informático; . . .; un; .; mujer; ingeniero; robot; 0.18748; 0.04113; 0.03315; 0.02181; 0.01441; 0.01432; 0.01269; 0.01235; 0.01155; 0.00737
medico; medico; médico; mujer; hombre; doctor; . . .; medicina; la; persona; psiquiatra; 0.15584; 0.09582; 0.03232; 0.02369; 0.02085; 0.01398; 0.0128; 0.01129; 0.01073; 0.01042
muebles; muebles; . . .; casa; los; .; todos; un; la; c; madera; 0.13854; 0.02583; 0.01837; 0.01188; 0.01167; 0.00963; 0.00764; 0.0075; 0.00708; 0.00693
fidelidad; fidelidad; la; vida; .; mujer; fiel; persona; . . .; Dios; ti; 0.09367; 0.02776; 0.02154; 0.01563; 0.01212; 0.01179; 0.01095; 0.01002; 0.00952; 0.00711
experto; experto; experta; especialista; Experto; . . .; mujer; más; hombre; mejor; expertos; 0.24525; 0.05333; 0.01692; 0.0092; 0.00852; 0.00803; 0.00748; 0.00723; 0.00597; 0.00466
amor; mujer; amor; vida; sexo; la; hombre; mi; verdad; ti; muerte; 0.09298; 0.08386; 0.03055; 0.0251; 0.01937; 0.01919; 0.01903; 0.01583; 0.01397; 0.01271
casa; casa; la; .; . . .; mi; domicilio; lo; Casa; todos;paña; 0.63549; 0.03131; 0.01387; 0.00985; 0.009; 0.00599; 0.00497; 0.00419; 0.00411; 0.004
embajador; . . .; .; la; un; persona; mi; los; lo; el; hombre; 0.03939; 0.03858; 0.02581; 0.01659; 0.00974; 0.0095; 0.00737; 0.00645; 0.00639; 0.00617
ligon; hombre; mujer; sexy; .; puta; una; un; novia; la; lesbiana; 0.05951; 0.05075; 0.01048; 0.01018; 0.00873; 0.00831; 0.00795; 0.00682; 0.00652; 0.00589
espabilado; mujer; hombre; inteligente; . . .; madura; .; valiente; puta; de; machista; 0.05144; 0.0443; 0.02171; 0.01499; 0.00928; 0.00803; 0.00724; 0.00663; 0.00584; 0.00526
adinerado; mujer; pobre; .; hombre; . . .; rico; de; puta; rica; humilde; 0.05895; 0.04189; 0.03495; 0.03475; 0.01605; 0.01469; 0.01248; 0.01192; 0.0115; 0.0097
rico; pobre; rico; hombre; mujer; rica; pobres; puta; negro; millonario; la; 0.36112; 0.0841; 0.01921; 0.01707; 0.01625; 0.0081; 0.00751; 0.00721; 0.00603; 0.00474
engaÃ±o; la; mentir; un; hombre; una; mujer; enga; m; engañar; mentira; 0.02727; 0.02213; 0.0146; 0.01401; 0.01325; 0.01186; 0.0108; 0.01018; 0.00989; 0.0097
conducir; conducir; . . .; la; ser; .; . . . .; un; correr; morir; matar; 0.10344; 0.07553; 0.02139; 0.01884; 0.01774; 0.01062; 0.01057; 0.0101; 0.01003; 0.00944
azul; negro; azul; rojo; rosa; verde; roja; blanco; gris; naranja; negra; 0.11697; 0.11409; 0.1056; 0.05039; 0.04658; 0.03804; 0.02935; 0.02624; 0.02404; 0.02234
rosa; rosa; violeta; azul; negra; negro; naranja; rojo; la; roja; verde; 0.1995; 0.03942; 0.03367; 0.03351; 0.03302; 0.02173; 0.0189; 0.01428; 0.01242; 0.01208
deporte; deporte; mujer; .; hombre; vida; deportes; . . .; la; fútbol; deportista; 0.14859; 0.05389; 0.02034; 0.01933; 0.01522; 0.01406; 0.01374; 0.00997; 0.00829; 0.00792
fiel; fiel; mujer; infiel; ella; .; la; hombre; leal; amante; amigo; 0.31223; 0.02047; 0.0133; 0.01267; 0.01086; 0.00884; 0.0086; 0.00838; 0.0081; 0.00683
abogado; abogado; mujer; hombre; un; . . .; .; abogada; la; una; juez; 0.14883; 0.05204; 0.03887; 0.02482; 0.02307; 0.01994; 0.01793; 0.01307; 0.0109; 0.00895
amor; mujer; amor; vida; sexo; la; hombre; mi; verdad; ti; muerte; 0.09298; 0.08386; 0.03055; 0.0251; 0.01937; 0.01919; 0.01903; 0.01583; 0.01397; 0.01271
homosexual; mujer; lesbiana; hombre; homosexual; gay; transexual; .; travesti; . . .; hetero; 0.12866; 0.09564; 0.05902; 0.05435; 0.03106; 0.01796; 0.00915; 0.00869; 0.00756; 0.00741
pasatiempo; mujer; hombre; placer; tiempo; persona; . . .; vida; amor; lo; la; 0.06956; 0.03157; 0.01625; 0.014; 0.00943; 0.00781; 0.00716; 0.00702; 0.00639; 0.00588
regalo; regalo; .; . . .; regalar; amor; mujer; hombre; la; un; cambio; 0.1211; 0.0225; 0.01785; 0.0131; 0.01173; 0.01129; 0.01038; 0.0103; 0.00946; 0.00866
vicio; vicio; amor; placer; la; vida; muerte; sexo; gusto; puta; mi; 0.08125; 0.02746; 0.02686; 0.0162; 0.01495; 0.01384; 0.01374; 0.01248; 0.01177; 0.01084
droga; droga; mujer; puta; . . .; sexo; la; marihuana; drogas; vida; hombre; 0.13856; 0.03901; 0.02521; 0.02272; 0.01632; 0.01603; 0.01359; 0.0128; 0.01172; 0.01151
adicciÃ³n; mujer; .; la; amor; hombre; . . .; placer; un; una; lo; 0.04991; 0.03862; 0.03333; 0.03044; 0.02255; 0.01411; 0.01387; 0.01179; 0.00959; 0.009
prioridad; .; la; mi; . . .; ser; que; l;:; mujer; a; 0.09704; 0.02123; 0.01936; 0.01674; 0.01596; 0.01481; 0.01299; 0.01286; 0.01195; 0.00794
objeto; mujer; hombre; objeto; persona; sujeto; cuerpo; .; amante; máquina; puta; 0.3772; 0.08982; 0.0504; 0.02337; 0.01459; 0.00916; 0.00728; 0.00639; 0.00635; 0.00385
arte; mujer; arte; hombre; vida; .; . . .; la; belleza; artista; verdad; 0.10644; 0.08133; 0.03384; 0.02336; 0.01678; 0.01416; 0.01326; 0.01189; 0.01186; 0.01045
vida; vida; mujer; muerte; historia; persona; .; Vida; amor; hombre; la; 0.54246; 0.03168; 0.01985; 0.01034; 0.01009; 0.00976; 0.00907; 0.00768; 0.00562; 0.00541
vivir; vivir; morir; vida; ser; la; amar; trabajar; pensar; .; . . .; 0.39006; 0.07399; 0.02524; 0.01629; 0.01359; 0.0118; 0.01113; 0.00861; 0.00816; 0.00654
jugar; jugar; pensar; . . .; ganar; aprender; divertirse; bailar; follar; disfrutar; amar; 0.25993; 0.02243; 0.02091; 0.02054; 0.01918; 0.01863; 0.01503; 0.01302; 0.0118; 0.01055
cocinar; cocinar; . . .; comer; la; cantar; .; bailar; cocina; amar; casa; 0.34915; 0.03439; 0.02517; 0.01782; 0.01132; 0.00925; 0.00833; 0.00806; 0.00768; 0.00708
intimidad; intimidad; vida; mujer; casa; la; libertad; sexo; pareja; persona; ti; 0.27299; 0.03421; 0.03157; 0.01964; 0.01232; 0.00937; 0.00735; 0.00661; 0.00624; 0.00614
cama; cama; casa; la; . . .; puta; .; una; vida; c; ti; 0.29242; 0.03261; 0.01936; 0.01468; 0.0119; 0.01154; 0.00893; 0.00634; 0.0061; 0.00596
embajada; .; . . .; la; mujer; persona; una; casa; mi; un; ti; 0.04998; 0.03023; 0.02925; 0.02253; 0.0103; 0.00951; 0.00917; 0.00853; 0.00825; 0.00698
familia; familia; casa; mujer; vida; .; persona; la; pareja; España; hombre; 0.42344; 0.07232; 0.0322; 0.0212; 0.01604; 0.01363; 0.00908; 0.00768; 0.00596; 0.00594
hijos; hijos; los; .; . . .; hijo; otros; la; mujer; padres; mi; 0.18304; 0.02384; 0.01991; 0.01711; 0.01707; 0.0154; 0.01531; 0.01279; 0.01178; 0.01136
matrimonio; matrimonio; mujer; pareja; .; hombre; la; marido; familia; amor; vida; 0.12943; 0.04471; 0.02613; 0.024; 0.0229; 0.02258; 0.01663; 0.01509; 0.01468; 0.01167
dinero; dinero; amor; mujer; sexo; tiempo; .; la; hombre; vida; mujeres; 0.16375; 0.04718; 0.0336; 0.02681; 0.02409; 0.02072; 0.01576; 0.01261; 0.0107; 0.01063
supervivencia; vida; supervivencia; muerte; mujer; evolución; la; persona; .; naturaleza; que; 0.10452; 0.03751; 0.02649; 0.01576; 0.01244; 0.01026; 0.00925; 0.00793; 0.00744; 0.00654
astucia; mujer; inteligencia; verdad; inteligente; hombre; bella; dama; valiente; historia; la; 0.03248; 0.02363; 0.01528; 0.0145; 0.01117; 0.01049; 0.0101; 0.00992; 0.00727; 0.00699
fuerza; fuerza; mujer; .; ser; que; poder; hombre; la; diferencia; causa; 0.11972; 0.04154; 0.02037; 0.01087; 0.0106; 0.0085; 0.00824; 0.00809; 0.00777; 0.00602
rebelde; rebelde; mujer; . . .; .; valiente; hombre; libre; original; la; una; 0.05526; 0.0353; 0.02287; 0.01231; 0.01151; 0.00903; 0.00691; 0.00589; 0.00576; 0.0057
